internshipID,title,description,level,preferredMajors,openingDate,closeDate,status,CompanyName,companyRepInCharge,numOfSlots,pendingApplicationNumberList,acceptedApplicationNumberList,visibility
"#INT0001","Basic Info, Engi, Comm","","Basic","Information Engineering and Media","2025-10-10","2025-12-10","approved","NewComp","NewComp@gmail.com","1","1","","false"
"#INT0002","Intermediate Info, Engi, Comm","","Intermediate","Information Engineering and Media","2025-10-10","2025-12-10","approved","NewComp","NewComp@gmail.com","2","","","true"
"#INT0003","Advance Info, Engi, Comm","","Advanced","Information Engineering and Media","2025-10-12","2025-12-12","approved","NewComp","NewComp@gmail.com","2","","","true"
"#INT0004","Basic Info HIDDEN","","Basic","Information Engineering and Media","2025-10-13","2025-12-13","approved","NewComp","NewComp@gmail.com","2","","","false"
"#INT0005","Advance Info HIDDEN","","Advanced","Information Engineering and Media","2025-10-13","2025-12-04","approved","NewComp","NewComp@gmail.com","1","","","false"
"#INT0006","Basic Info NewComp2","","Basic","Information Engineering and Media","2025-11-11","2025-11-11","approved","NewComp2","NewComp2@gmail.com","2","","2","true"
"#INT0007","","","Basic","","2025-11-11","2025-11-11","rejected","NewComp2","NewComp2@gmail.com","1","","","true"
"#INT0008","Rejected","","Basic","Civil Engineering","2025-11-11","2025-11-11","rejected","NewComp2","NewComp2@gmail.com","1","","","true"
"#INT0009","Pending","","Basic","Business","2025-11-11","2025-11-11","approved","NewComp2","NewComp2@gmail.com","1","","","true"
"#INT0010","Basic CS NewComp3","","Basic","Computer Science","2025-11-11","2025-11-11","approved","NewComp3","NewComp3@gmail.com","1","","3","true"
"#INT0011","Intermediat NewComp2","","Intermediate","Computer Science","2025-11-11","2025-11-11","approved","NewComp2","NewComp2@gmail.com","1","","4","true"
"#INT0012","Basic 2.0 NewComp3","","Basic","Computer Science","2025-11-11","2025-11-11","approved","NewComp3","NewComp3@gmail.com","1","","","true"
"#INT0013","Intermediate 2.0 NewComp3","","Intermediate","Computer Science","2025-11-11","2025-11-11","approved","NewComp3","NewComp3@gmail.com","1","","","true"
"#INT0014","Advanced CS","","Advanced","Computer Science","2025-11-11","2025-11-11","approved","NewComp3","NewComp3@gmail.com","1","","","true"
"#INT0015","Econ Basic","","Basic","Economics","2025-11-11","2025-11-11","approved","NewComp3","NewComp3@gmail.com","1","","","true"
"#INT0016","Basic CompEngi","","Basic","Computer Engineering","2025-11-11","2025-11-11","approved","NewComp4","NewComp4@gmail.com","1","","","true"
"#INT0017","Intermediate CompEngi","","Intermediate","Computer Engineering","2025-11-11","2025-11-11","rejected","NewComp4","NewComp4@gmail.com","1","","","true"
"#INT0018","Basic CS","1 slot","Basic","Computer Science","2025-11-11","2025-11-11","approved","NewComp4","NewComp4@gmail.com","1","5","","true"
