internshipID,title,description,level,preferredMajors,openingDate,closeDate,status,CompanyName,companyRepInCharge,numOfSlots,pendingApplicationNumberList,acceptedApplicationNumberList,visibility
"#INT0001","Basic CS","","Basic","Computer Science","2025-11-12","2025-11-30","approved","NewComp","NewComp@gmail.com","1","","","true"
"#INT0002","Intermediate CS","","Intermediate","Computer Science","2025-11-12","2025-11-30","approved","NewComp","NewComp@gmail.com","1","","","true"
"#INT0003","Advance CS","","Advanced","Computer Science","2025-11-12","2025-11-30","approved","NewComp","NewComp@gmail.com","1","","","true"
"#INT0004","Basic CE","","Basic","Computer Engineering","2025-11-12","2025-11-30","approved","NewComp","NewComp@gmail.com","1","","","true"
"#INT0005","Intermediate CE","","Intermediate","Computer Engineering","2025-11-12","2025-11-30","approved","NewComp","NewComp@gmail.com","1","","","true"
"#INT0006","Approved DSAI","","Basic","Data Science and Artificial Intelligence","2025-11-12","2025-11-30","approved","NewComp2","NewComp2@gmail.com","1","","","true"
"#INT0007","Pending DSAI","","Basic","Data Science and Artificial Intelligence","2025-11-12","2025-11-30","pending","NewComp2","NewComp2@gmail.com","1","","","true"
"#INT0008","Rejected DSAI","","Basic","Data Science and Artificial Intelligence","2025-11-12","2025-11-30","rejected","NewComp2","NewComp2@gmail.com","1","","","true"
"#INT0009","Not Visible DSAI","","Basic","Data Science and Artificial Intelligence","2025-11-12","2025-11-30","approved","NewComp2","NewComp2@gmail.com","1","","","false"
"#INT00010","To Toggle Visibility False DSAI","","Basic","Data Science and Artificial Intelligence","2025-11-12","2025-11-30","approved","NewComp2","NewComp2@gmail.com","1","","","true"
"#INT00011","Business Accepted","","Basic","Business","2025-11-12","2025-11-30","approved","NewComp3","NewComp3@gmail.com","2","","1","true"
"#INT00012","Business Rejected","","Basic","Business","2025-11-12","2025-11-30","approved","NewComp3","NewComp3@gmail.com","1","","1","true"
"#INT00013","Business Not Accepted","","Basic","Business","2025-11-12","2025-11-30","approved","NewComp3","NewComp3@gmail.com","1","","","true"
